method,budget,reviewer_sensitivity,review_cost_ratio_lambda,observed_normalized_idealized_net_gain,bootstrap_mean,ci_low,ci_high,iterations,resampling_unit,models_retrained_within_bootstrap
oracle,0.01,1.0,0.05,0.015833333333333335,0.0132473703903542,0.010826047358834244,0.015833333333333335,5000,claim_source_component,False
oracle,0.01,1.0,0.1,0.015,0.012547725202511614,0.010210627985281547,0.015000000000000001,5000,claim_source_component,False
oracle,0.01,1.0,0.2,0.013333333333333334,0.011148434826826448,0.009049700655706549,0.013333333333333334,5000,claim_source_component,False
oracle,0.01,1.0,0.5,0.008333333333333333,0.006950563699770948,0.005518725736469514,0.008333333333333333,5000,claim_source_component,False
oracle,0.02,0.6,0.01,0.01475,0.01382791270485703,0.011799444444444444,0.015600961538461538,5000,claim_source_component,False
oracle,0.02,0.6,0.05,0.01375,0.012882095460626568,0.010912458044891965,0.014540139594270711,5000,claim_source_component,False
oracle,0.02,0.6,0.1,0.0125,0.011699823905338491,0.009874326750448833,0.013215991401219922,5000,claim_source_component,False
oracle,0.02,0.6,0.2,0.01,0.009335280794762335,0.007676722074013271,0.010572687224669601,5000,claim_source_component,False
oracle,0.02,0.6,0.5,0.0025,0.0022416514630338715,0.0008234653277756724,0.0026431718061673995,5000,claim_source_component,False
oracle,0.02,0.8,0.01,0.01975,0.01851603504349525,0.015799444444444446,0.02088942307692308,5000,claim_source_component,False
oracle,0.02,0.8,0.05,0.01875,0.01757021779926479,0.01491007261010305,0.019831730769230768,5000,claim_source_component,False
oracle,0.02,0.8,0.1,0.0175,0.016387946243976707,0.013876651982378854,0.018502387961707896,5000,claim_source_component,False
oracle,0.02,0.8,0.2,0.015,0.014023403133400555,0.01171270954842198,0.015859030837004406,5000,claim_source_component,False
oracle,0.02,0.8,0.5,0.0075,0.006929773801672088,0.004943452315355624,0.007929515418502205,5000,claim_source_component,False
oracle,0.02,1.0,0.01,0.024749999999999998,0.023204157382133463,0.019799444444444446,0.026177884615384617,5000,claim_source_component,False
oracle,0.02,1.0,0.05,0.02375,0.022258340137903003,0.018912500827141587,0.025120192307692305,5000,claim_source_component,False
oracle,0.02,1.0,0.1,0.0225,0.021076068582614925,0.017841409691629954,0.023788784522195863,5000,claim_source_component,False
oracle,0.02,1.0,0.2,0.02,0.01871152547203877,0.015725806451612902,0.021145374449339206,5000,claim_source_component,False
oracle,0.02,1.0,0.5,0.0125,0.011617896140310302,0.009049569194766516,0.013215859030837005,5000,claim_source_component,False
