method,budget,reviewed_count,review_rate,coverage,selective_accuracy,selective_risk,selective_macro_f1,detected_false_supports,missed_false_supports,incorrectly_reviewed_correct_supports,error_detection_precision,error_detection_recall,accepted_support_predictions,accepted_support_precision,accepted_false_support_rate,oracle_review_accuracy_upper_bound
semantic_rules_only,0.14,85,0.14166666666666666,0.8583333333333333,0.5631067961165048,0.4368932038834952,0.5192373443327067,24,21,61,0.2823529411764706,0.5333333333333333,48,0.5625,0.4375,0.625
semantic_rules_only,0.15,92,0.15333333333333332,0.8466666666666667,0.5590551181102362,0.4409448818897638,0.5038047286806251,25,20,67,0.2717391304347826,0.5555555555555556,41,0.5121951219512195,0.4878048780487805,0.6266666666666667
semantic_rules_only,0.16,99,0.165,0.835,0.5528942115768463,0.44710578842315374,0.4816782918990159,25,20,74,0.25252525252525254,0.5555555555555556,34,0.4117647058823529,0.5882352941176471,0.6266666666666667
semantic_rules_only,0.17,103,0.17166666666666666,0.8283333333333334,0.5492957746478874,0.45070422535211263,0.46720460768848954,25,20,78,0.24271844660194175,0.5555555555555556,30,0.33333333333333337,0.6666666666666666,0.6266666666666667
semantic_rules_only,0.18,108,0.18,0.82,0.5467479674796748,0.4532520325203252,0.4516826148200554,26,19,82,0.24074074074074073,0.5777777777777777,25,0.24,0.76,0.6283333333333333
semantic_rules_only,0.19,112,0.18666666666666668,0.8133333333333334,0.5471311475409836,0.4528688524590164,0.4439105815005768,28,17,84,0.25,0.6222222222222222,21,0.19047619047619047,0.8095238095238095,0.6316666666666667
semantic_rules_only,0.2,117,0.195,0.805,0.5486542443064182,0.4513457556935818,0.4358153389737498,31,14,86,0.26495726495726496,0.6888888888888889,16,0.125,0.875,0.6366666666666667
path_statistics_only,0.0,0,0.0,1.0,0.585,0.41500000000000004,0.5857622328210564,0,45,0,0.0,0.0,133,0.6616541353383458,0.3383458646616541,0.585
path_statistics_only,0.01,10,0.016666666666666666,0.9833333333333333,0.5847457627118644,0.4152542372881356,0.5837903193369147,4,41,6,0.4,0.08888888888888889,123,0.6666666666666667,0.3333333333333333,0.5916666666666667
path_statistics_only,0.02,15,0.025,0.975,0.582905982905983,0.41709401709401706,0.5805253541133696,5,40,10,0.3333333333333333,0.1111111111111111,118,0.6610169491525424,0.3389830508474576,0.5933333333333334
path_statistics_only,0.03,21,0.035,0.965,0.5854922279792746,0.4145077720207254,0.5827086492433028,9,36,12,0.42857142857142855,0.2,112,0.6785714285714286,0.32142857142857145,0.6
